,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,season_name,time_bin,time_bin_encoded,season_name_encoded,rush_hour,ideal,sticky
0,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1,spring,Night,3,1,0,0,0
1,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36,spring,Morning,2,1,0,0,0
2,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56,spring,Morning,2,1,0,0,0
3,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84,spring,Afternoon,0,1,0,0,0
4,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94,spring,Afternoon,0,1,0,0,0
5,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106,spring,Afternoon,0,1,0,0,0
6,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110,spring,Afternoon,0,1,0,0,0
7,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93,spring,Afternoon,0,1,0,0,0
8,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67,spring,Afternoon,0,1,1,0,0
9,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35,spring,Evening,1,1,1,0,0
10,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37,spring,Evening,1,1,1,0,0
11,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36,spring,Evening,1,1,0,0,0
12,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34,spring,Evening,1,1,0,0,0
13,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28,spring,Evening,1,1,0,0,0
14,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39,spring,Evening,1,1,0,0,0
15,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17,spring,Night,3,1,0,0,0
16,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17,spring,Night,3,1,0,0,0
17,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,9,spring,Night,3,1,0,0,0
18,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,6,spring,Night,3,1,0,0,0
19,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,3,spring,Night,3,1,0,0,0
20,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2,spring,Morning,2,1,0,0,0
21,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1,spring,Morning,2,1,1,0,0
22,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8,spring,Morning,2,1,1,0,0
23,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20,spring,Morning,2,1,1,0,0
24,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53,spring,Morning,2,1,0,0,0
25,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70,spring,Morning,2,1,0,0,0
26,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93,spring,Afternoon,0,1,0,0,0
27,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75,spring,Afternoon,0,1,0,0,0
28,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,59,spring,Afternoon,0,1,0,0,0
29,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74,spring,Afternoon,0,1,0,0,0
30,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76,spring,Afternoon,0,1,0,0,0
31,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,65,spring,Afternoon,0,1,1,0,0
32,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53,spring,Evening,1,1,1,0,0
33,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30,spring,Evening,1,1,1,0,0
